seqnames	start	end	width	strand	X.AGG.MEAN	X.AGG.COUNT	X.AGG.MAX	X.AGG.MIN
chr1	713131	713668	538	*	13	3	13	13
chr1	714437	714760	324	*	74	2	74	74
chr1	840382	841119	738	*	3	4	3	3
chr1	856113	856627	515	*	3.25	4	10	1
chr1	858351	862138	3788	*	67.2313	147	165	1
chr1	875875	876389	515	*	9.25	12	12	6
chr1	876746	877381	636	*	48.1936	62	108	1
chr1	877385	878628	1244	*	46.7	30	92	9
chr1	893009	897745	4737	*	43.4295	156	158	1
chr1	901449	902979	1531	*	36.493	71	128	2
chr1	911567	911689	123	*	55	3	55	55
chr1	934669	934890	222	*	15.45	20	23	2
chr1	935588	936413	826	*	34	57	83	5
chr1	936827	937014	188	*	17	6	17	17
chr1	937078	937297	220	*	23.5667	30	44	1
chr1	948352	949557	1206	*	1	2	1	1
chr1	954642	957878	3237	*	39.7	130	211	1
chr1	968659	968898	240	*	53.3636	11	85	28
chr1	969138	970120	983	*	35.1231	65	103	1
chr1	975343	975549	207	*	56.8	10	80	36
chr1	975705	976286	582	*	62.875	24	129	8
chr1	993914	995796	1883	*	53.4796	98	217	1
chr1	999693	999897	205	*	3.2	5	4	2
chr1	1003449	1005529	2081	*	32.1	50	77	2
chr1	1015347	1015535	189	*	23.5556	9	53	2
chr1	1050225	1050979	755	*	7.9444	18	22	1
chr1	1051158	1051452	295	*	57.8095	21	105	5
chr1	1051661	1052426	766	*	36.3191	47	57	14
chr1	1071962	1072642	681	*	29.9565	23	61	2
chr1	1092781	1093694	914	*	28.2727	22	77	2
chr1	1099571	1100090	520	*	30.3529	17	41	1
chr1	1109184	1109739	556	*	37.0667	15	82	10
chr1	1136712	1137047	336	*	72.1091	55	225	6
chr1	1141523	1141827	305	*	41.0526	19	92	3
chr1	1141836	1141958	123	*	36	3	36	36
chr1	1142068	1142174	107	*	22	2	22	22
chr1	1165508	1169159	3652	*	49.4809	131	109	1
chr1	1182215	1182328	114	*	6	1	6	6
chr1	1207108	1210723	3616	*	44.5189	106	186	1
chr1	1239726	1246153	6428	*	44.1209	215	132	1
chr1	1240156	1240414	259	*	5.0714	14	22	1
chr1	1241591	1245592	4002	*	47.6378	196	132	2
chr1	1259149	1261454	2306	*	58.8852	61	115	3
chr1	1282280	1286246	3967	*	36.2703	148	138	1
chr1	1286695	1287396	702	*	25.0667	15	70	2
chr1	1286801	1287839	1039	*	23.5625	16	70	1
chr1	1288676	1290717	2042	*	44.8462	52	107	1
chr1	1308581	1312489	3909	*	46.6552	58	114	1
chr1	1332639	1336944	4306	*	85.5	36	212	1
chr1	1340747	1345037	4291	*	51.8108	74	192	1
chr1	1355189	1355403	215	*	46.28	25	69	26
chr1	1370528	1372065	1538	*	42.7333	45	154	1
chr1	1405385	1409197	3813	*	43.6667	18	86	14
chr1	1445707	1449438	3732	*	17.2647	34	37	1
chr1	1474683	1475369	687	*	48.4167	24	94	10
chr1	1476027	1476665	639	*	30.3448	29	89	5
chr1	1508114	1511962	3849	*	52.7816	87	164	1
chr1	1534527	1534975	449	*	3.1429	7	4	2
chr1	1535700	1536070	371	*	24	27	42	11
chr1	1548890	1553027	4138	*	74.4645	155	172	1
chr1	1563777	1565371	1595	*	34.1129	62	99	2
chr1	1567550	1567784	235	*	37.3462	26	48	18
chr1	1590310	1590881	572	*	70.4	30	172	1
chr1	1655441	1656120	680	*	49	6	49	49
chr1	1707939	1712806	4868	*	54.337	92	196	10
chr1	1713719	1714539	821	*	53.75	8	80	45
chr1	1819719	1824396	4678	*	52.4557	158	159	2
chr1	1839101	1842286	3186	*	32.8367	49	85	1
chr1	1849744	1850876	1133	*	29.4138	29	99	8
chr1	1851134	1851352	219	*	42.6667	9	45	38
chr1	1875663	1875932	270	*	1.8	5	3	1
chr1	1934931	1935635	705	*	38.9318	44	69	4
chr1	1949958	1950544	587	*	4	9	4	4
chr1	1977942	1979955	2014	*	19.9444	18	72	2
chr1	1980059	1984007	3949	*	23.0255	157	94	1
chr1	2047098	2048388	1291	*	11	2	11	11
chr1	2063698	2066204	2507	*	61.5	4	88	35
chr1	2120962	2121672	711	*	51.5	4	57	46
chr1	2125196	2125760	565	*	31.75	12	68	11
chr1	2126213	2126910	698	*	13.875	8	32	3
chr1	2130862	2130992	131	*	1	3	1	1
chr1	2135641	2136376	736	*	35.84	25	86	15
chr1	2136732	2137449	718	*	52.6098	41	137	16
chr1	2143976	2144881	906	*	5	11	15	1
chr1	2158013	2159141	1129	*	31.5	52	89	4
chr1	2160151	2162594	2444	*	55.3333	48	155	1
chr1	2177587	2187869	10283	*	6.1667	6	16	1
chr1	2179325	2180336	1012	*	2	2	2	2
chr1	2245149	2247119	1971	*	37.3947	76	135	1
chr1	2321323	2325091	3769	*	41.4578	83	73	1
chr1	2342990	2345626	2637	*	35.8108	74	97	1
chr1	2374030	2379656	5627	*	37.5	54	78	1
chr1	2455816	2459358	3543	*	41.4211	38	79	7
chr1	2460480	2462581	2102	*	41.5414	133	106	1
chr1	2474794	2475794	1001	*	3.5	8	5	2
chr1	2477469	2479709	2241	*	43.9444	72	132	1
chr1	2516467	2519489	3023	*	39.3	60	104	1
chr1	2559422	2561165	1744	*	24.5763	59	64	2
chr1	2559790	2559959	170	*	57.5	8	64	51
chr1	2560467	2560661	195	*	13.1905	21	21	2
chr1	2573227	2576026	2800	*	51.1196	92	139	1
chr1	2853230	2859376	6147	*	26.5714	7	48	6
chr1	2979522	2980843	1322	*	50.2273	22	87	8
chr1	2983553	2988340	4788	*	40.1404	228	145	1
chr1	2989659	2991051	1393	*	14.125	8	56	2
chr1	3163783	3164642	860	*	24.1429	7	46	1
chr1	3268439	3269497	1059	*	3	2	3	3
chr1	3309862	3310974	1113	*	53.6757	37	82	15
chr1	3371499	3372411	913	*	32.3158	19	97	11
chr1	3446813	3448822	2010	*	31.7763	76	84	4
chr1	3526960	3528187	1228	*	65.9655	29	96	2
chr1	3540354	3541558	1205	*	44.4364	55	120	1
chr1	3541833	3542544	712	*	30.7222	36	54	10
chr1	3564919	3570678	5760	*	46.8703	185	138	1
chr1	3623135	3625361	2227	*	18.4444	18	59	6
chr1	3662174	3664303	2130	*	40.9091	44	85	5
chr1	3688212	3689149	938	*	59.3333	9	61	58
chr1	3689235	3689898	664	*	42.1515	33	112	3
chr1	3711401	3714182	2782	*	45.5915	71	162	1
chr1	3772060	3775583	3524	*	53.7593	54	149	1
chr1	3814780	3818875	4096	*	46.0833	48	138	1
chr1	4087306	4088366	1061	*	5	7	8	2
chr1	4713470	4717644	4175	*	43.4952	208	160	1
chr1	4771026	4771669	644	*	13.7	10	23	7
chr1	4815190	4816635	1446	*	13.5	2	18	9
chr1	5723944	5737623	13680	*	26.6667	3	42	9
chr1	6050399	6055035	4637	*	44.2366	93	129	1
chr1	6239367	6239476	110	*	19.3333	9	47	5
chr1	6239959	6240146	188	*	14.8571	7	23	4
chr1	6240332	6240465	134	*	33.2105	19	65	6
chr1	6257027	6261504	4478	*	42.8696	23	82	11
chr1	6265715	6266717	1003	*	41.2958	71	172	2
chr1	6268880	6269804	925	*	2	6	3	1
chr1	6293828	6296998	3171	*	53.5408	98	154	1
chr1	6298338	6307847	9510	*	28.4026	154	100	1
chr1	6302612	6307385	4774	*	31.8224	107	100	2
chr1	6308742	6310329	1588	*	56.64	75	209	1
chr1	6319930	6320069	140	*	29	1	29	29
chr1	6320077	6320272	196	*	41.2857	14	75	16
chr1	6320492	6320938	447	*	52.8182	11	66	37
chr1	6321229	6321404	176	*	61.4	5	107	31
chr1	6321442	6321716	275	*	71	6	94	1
chr1	6445532	6445867	336	*	15	5	27	5
chr1	6451402	6455304	3903	*	40.009	111	115	1
chr1	6479214	6481101	1888	*	42.869	84	106	1
chr1	6479772	6480049	278	*	36.1	40	106	19
chr1	6480082	6480214	133	*	32	2	32	32
chr1	6480319	6480511	193	*	80	2	80	80
chr1	6506209	6510250	4042	*	32.525	40	60	1
chr1	6519984	6521096	1113	*	10.55	20	32	2
chr1	6525545	6526554	1010	*	19.125	8	28	1
chr1	6531033	6531832	800	*	44.4151	53	153	2
chr1	6544666	6545706	1041	*	40.2162	37	92	2
chr1	6549247	6552551	3305	*	50.28	50	140	1
chr1	6556439	6557465	1027	*	40.9444	18	75	15
chr1	6557583	6557962	380	*	39.7895	19	64	5
chr1	6612373	6615674	3302	*	44.5606	66	123	1
chr1	6639192	6641431	2240	*	62.3056	36	106	2
chr1	6659584	6665279	5696	*	31.6829	41	105	1
chr1	6672431	6673531	1101	*	51.4407	59	151	2
chr1	6673674	6674461	788	*	37.2292	96	103	1
chr1	6675108	6676137	1030	*	29.1667	24	67	13
chr1	6684452	6686541	2090	*	63.7115	52	102	2
chr1	6760164	6762417	2254	*	48.7105	38	101	1
chr1	6842931	6847852	4922	*	46.5443	158	236	1
chr1	7021563	7022575	1013	*	30.8235	17	117	2
chr1	7129822	7130676	855	*	22.8462	13	39	2
chr1	7353957	7363299	9343	*	2	1	2	2
chr1	7592745	7600308	7564	*	26.8824	17	66	1
chr1	7739512	7741658	2147	*	40.2273	22	143	2
chr1	7763875	7764070	196	*	64	1	64	64
chr1	7765212	7765324	113	*	31	1	31	31
chr1	7829922	7833380	3459	*	59.717	53	193	1
chr1	7843294	7843692	399	*	32.2222	9	60	2
chr1	7844573	7844872	300	*	21.087	23	47	5
chr1	8020005	8023571	3567	*	74.0172	58	125	10
chr1	8084819	8086386	1568	*	58.2769	65	159	3
chr1	8086487	8087379	893	*	41.6053	38	96	1
chr1	8276961	8278102	1142	*	47	41	128	5
chr1	8378026	8378956	931	*	41.3585	53	130	1
chr1	8481563	8485879	4317	*	31.8804	92	127	1
chr1	8760127	8764866	4740	*	51.075	40	159	8
chr1	8874155	8879529	5375	*	32	66	85	1
chr1	8936237	8939952	3716	*	52.6667	66	129	1
chr1	9188360	9189328	969	*	71.359	39	129	35
chr1	9189426	9189893	468	*	63.7857	14	132	1
chr1	9239993	9244942	4950	*	29.475	40	102	2
chr1	9258459	9258982	524	*	57.5714	28	100	37
chr1	9261453	9262352	900	*	6	2	6	6
chr1	9262469	9262745	277	*	77	1	77	77
chr1	9293364	9296520	3157	*	34.6458	48	134	1
chr1	9308211	9316170	7960	*	16.3636	11	48	3
chr1	9352036	9352841	806	*	20.7037	27	64	1
chr1	9353214	9354269	1056	*	35.6951	82	74	9
chr1	9488112	9490102	1991	*	77	3	77	77
chr1	9555037	9555895	859	*	10.5	6	13	8
chr1	9599133	9601171	2039	*	48.8182	33	105	1
chr1	9648587	9650611	2025	*	61.1667	96	161	1
chr1	9710628	9713750	3123	*	59.4051	79	165	1
chr1	9746146	9751938	5793	*	39.1319	91	182	1
chr1	9881592	9886426	4835	*	44.7328	131	115	1
chr1	9882687	9884062	1376	*	59.2394	71	115	2
chr1	9884199	9884848	650	*	29.1667	30	57	11
chr1	9935409	9935568	160	*	46	5	50	30
chr1	9968321	9972191	3871	*	48.8906	64	124	1
